# tools/parity-sample.tsv — 100 random sites >1MB from /var/www-hotglue/usr (seeded draw 20260907)
# site<TAB>page<TAB>target<TAB>note (note=object count)
6mon	cemetary_graveyard	6mon-cemetary_graveyard	13 objects, 4456 KB
6mon	cuisine	6mon-cuisine	3 objects, 360 KB
6mon	empty_bliss	6mon-empty_bliss	3 objects, 236 KB
6mon	forest_edge (premier essai startpage)	6mon-forest_edge--premier-essai-startpage	141 objects, 24212 KB
6mon	france_internet	6mon-france_internet	45 objects, 1980 KB
6mon	garden	6mon-garden	70 objects, 46032 KB
6mon	home	6mon-home	47 objects, 13300 KB
6mon	HOW TO	6mon-HOW-TO	3 objects, 348 KB
6mon	inside_the_drawer	6mon-inside_the_drawer	11 objects, 8232 KB
6mon	INTERNET EXPLORER GRAVESTONE	6mon-INTERNET-EXPLORER-GRAVESTONE	1 objects, 372 KB
6mon	OMEGLE GRAVESTONE	6mon-OMEGLE-GRAVESTONE	1 objects, 208 KB
6mon	peinture_fraiche	6mon-peinture_fraiche	6 objects, 18112 KB
6mon	PHONE	6mon-PHONE	4 objects, 136 KB
6mon	SKYBLOG GRAVE STONE	6mon-SKYBLOG-GRAVE-STONE	1 objects, 16 KB
6mon	TEMU	6mon-TEMU	30 objects, 3788 KB
a4	start	a4-start	63 objects, 30352 KB
abbyc	Proceso Creativo	abbyc-Proceso-Creativo	5 objects, 404 KB
abbyc	start	abbyc-start	7 objects, 412 KB
abbyc	Statement	abbyc-Statement	7 objects, 672 KB
abbyc	Videos	abbyc-Videos	11 objects, 612 KB
abrahamfranco	inicio	abrahamfranco-inicio	35 objects, 105792 KB
abrahamfranco	Portafolio	abrahamfranco-Portafolio	1 objects, 4 KB
aimeepo	anguiano	aimeepo-anguiano	11 objects, 2060 KB
aimeepo	atl	aimeepo-atl	11 objects, 208 KB
aimeepo	flores	aimeepo-flores	11 objects, 224 KB
aimeepo	http:	aimeepo-http	3 objects, 12 KB
aimeepo	izquierdo	aimeepo-izquierdo	11 objects, 568 KB
aimeepo	izquierdo1	aimeepo-izquierdo1	12 objects, 248 KB
aimeepo	lola	aimeepo-lola	10 objects, 416 KB
aimeepo	nahui	aimeepo-nahui	12 objects, 196 KB
aimeepo	presentación	aimeepo-presentacion	10 objects, 572 KB
aimeepo	presetación	aimeepo-presetacion	3 objects, 536 KB
aimeepo	reyes	aimeepo-reyes	10 objects, 472 KB
aimeepo	rivera	aimeepo-rivera	12 objects, 236 KB
aimeepo	rosa	aimeepo-rosa	12 objects, 352 KB
aimeepo	ruelas	aimeepo-ruelas	10 objects, 456 KB
aimeepo	start	aimeepo-start	126 objects, 4260 KB
aimeepo	vulnerat	aimeepo-vulnerat	13 objects, 876 KB
ainohelaaa	start	ainohelaaa-start	7 objects, 18600 KB
alpi	2001: odisea en el espacio	alpi-2001--odisea-en-el-espacio	54 objects, 29140 KB
alpi	Hyperobjeto biomimetico	alpi-Hyperobjeto-biomimetico	21 objects, 2600 KB
alpi	Peter Kogler	alpi-Peter-Kogler	29 objects, 5460 KB
alpi	quipu	alpi-quipu	47 objects, 7668 KB
alpi	Visualización de datos en esquema	alpi-Visualizacion-de-datos-en-esquema	27 objects, 3716 KB
anaovi	start	anaovi-start	73 objects, 4624 KB
ang	hello	ang-hello	7 objects, 2584 KB
ang	nature	ang-nature	1 objects, 0 KB
ang	portraits	ang-portraits	1 objects, 0 KB
angeloskyriou	start	angeloskyriou-start	456 objects, 4124 KB
arthurandhishappydrawings	start	arthurandhishappydrawings-start	42 objects, 73864 KB
arturacker	bio	arturacker-bio	3 objects, 8 KB
arturacker	Ser Usuari	arturacker-Ser-Usuari	2 objects, 4 KB
arturacker	start	arturacker-start	32 objects, 19644 KB
baixasresolucoes	start	baixasresolucoes-start	17 objects, 27092 KB
behindthescenes	amanda	behindthescenes-amanda	22 objects, 6896 KB
